game_language,game,model,experiment,instance,type,language,count
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_negotiation_hard,00005,response,en,6
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_negotiation_hard,00002,response,en,7
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_negotiation_hard,00003,response,en,13
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_negotiation_hard,00004,response,en,11
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_negotiation_hard,00001,response,en,8
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_negotiation_hard,00000,response,en,7
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_reasoning off_hard,00005,response,en,10
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_reasoning off_hard,00002,response,en,10
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_reasoning off_hard,00003,response,en,12
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_reasoning off_hard,00004,response,en,9
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_reasoning off_hard,00001,response,en,15
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_reasoning off_hard,00000,response,en,14
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_negotiation_easy,00005,response,en,2
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_negotiation_easy,00002,response,en,2
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_negotiation_easy,00003,response,en,3
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_negotiation_easy,00001,response,en,2
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_negotiation_easy,00000,response,en,5
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_reasoning off_easy,00005,response,en,15
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_reasoning off_easy,00002,response,en,10
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_reasoning off_easy,00003,response,en,7
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_reasoning off_easy,00004,response,en,12
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_reasoning off_easy,00001,response,en,14
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_reasoning off_easy,00000,response,en,9
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_complexity_hard,00005,response,en,2
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_complexity_hard,00002,response,en,2
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_complexity_hard,00003,response,en,7
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_complexity_hard,00004,response,en,5
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_complexity_hard,00001,response,en,4
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_complexity_hard,00000,response,en,9
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_complexity_easy,00005,response,en,4
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_complexity_easy,00002,response,en,6
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_complexity_easy,00003,response,en,2
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_complexity_easy,00004,response,en,4
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_complexity_easy,00001,response,en,3
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_complexity_easy,00000,response,en,7
en,clean_up,deepseek-chat-v3.1-t1.0,0_easy_3obj_en,00002,response,en,7
en,clean_up,deepseek-chat-v3.1-t1.0,0_easy_3obj_en,00001,response,en,11
en,clean_up,deepseek-chat-v3.1-t1.0,0_easy_3obj_en,00000,response,en,6
en,clean_up,deepseek-chat-v3.1-t1.0,0_easy_5obj_en,00002,response,en,13
en,clean_up,deepseek-chat-v3.1-t1.0,0_easy_5obj_en,00001,response,en,7
en,clean_up,deepseek-chat-v3.1-t1.0,0_easy_5obj_en,00000,response,en,9
en,clean_up,deepseek-chat-v3.1-t1.0,0_easy_7obj_en,00002,response,en,6
en,clean_up,deepseek-chat-v3.1-t1.0,0_easy_7obj_en,00001,response,en,6
en,clean_up,deepseek-chat-v3.1-t1.0,0_easy_7obj_en,00000,response,en,19
en,clean_up,deepseek-chat-v3.1-t1.0,1_medium_3obj_en,00002,response,en,11
en,clean_up,deepseek-chat-v3.1-t1.0,1_medium_3obj_en,00001,response,en,4
en,clean_up,deepseek-chat-v3.1-t1.0,1_medium_3obj_en,00000,response,en,14
en,clean_up,deepseek-chat-v3.1-t1.0,1_medium_5obj_en,00002,response,en,17
en,clean_up,deepseek-chat-v3.1-t1.0,1_medium_5obj_en,00001,response,en,14
en,clean_up,deepseek-chat-v3.1-t1.0,1_medium_5obj_en,00000,response,en,5
en,clean_up,deepseek-chat-v3.1-t1.0,1_medium_7obj_en,00001,response,en,22
en,clean_up,deepseek-chat-v3.1-t1.0,1_medium_7obj_en,00000,response,en,12
en,clean_up,deepseek-chat-v3.1-t1.0,2_hard_3obj_en,00002,response,en,7
en,clean_up,deepseek-chat-v3.1-t1.0,2_hard_3obj_en,00001,response,en,14
en,clean_up,deepseek-chat-v3.1-t1.0,2_hard_3obj_en,00000,response,en,10
en,clean_up,deepseek-chat-v3.1-t1.0,2_hard_7obj_en,00002,response,en,7
en,clean_up,deepseek-chat-v3.1-t1.0,2_hard_7obj_en,00001,response,en,16
en,clean_up,deepseek-chat-v3.1-t1.0,2_hard_7obj_en,00000,response,en,22
en,clean_up,deepseek-chat-v3.1-t1.0,2_hard_5obj_en,00002,response,en,15
en,clean_up,deepseek-chat-v3.1-t1.0,2_hard_5obj_en,00001,response,en,6
en,clean_up,deepseek-chat-v3.1-t1.0,2_hard_5obj_en,00000,response,en,12
en,dond,deepseek-chat-v3.1-t1.0,coop_en,00005,response,en,3
en,dond,deepseek-chat-v3.1-t1.0,coop_en,00002,response,en,4
en,dond,deepseek-chat-v3.1-t1.0,coop_en,00003,response,en,6
en,dond,deepseek-chat-v3.1-t1.0,coop_en,00004,response,en,4
en,dond,deepseek-chat-v3.1-t1.0,coop_en,00017,response,en,5
en,dond,deepseek-chat-v3.1-t1.0,coop_en,00010,response,en,4
en,dond,deepseek-chat-v3.1-t1.0,coop_en,00019,response,en,5
en,dond,deepseek-chat-v3.1-t1.0,coop_en,00018,response,en,5
en,dond,deepseek-chat-v3.1-t1.0,coop_en,00011,response,en,4
en,dond,deepseek-chat-v3.1-t1.0,coop_en,00016,response,en,4
en,dond,deepseek-chat-v3.1-t1.0,coop_en,00008,response,en,4
en,dond,deepseek-chat-v3.1-t1.0,coop_en,00001,response,en,6
en,dond,deepseek-chat-v3.1-t1.0,coop_en,00006,response,en,3
en,dond,deepseek-chat-v3.1-t1.0,coop_en,00007,response,en,5
en,dond,deepseek-chat-v3.1-t1.0,coop_en,00000,response,en,3
en,dond,deepseek-chat-v3.1-t1.0,coop_en,00009,response,en,4
en,dond,deepseek-chat-v3.1-t1.0,coop_en,00013,response,en,5
en,dond,deepseek-chat-v3.1-t1.0,coop_en,00014,response,en,5
en,dond,deepseek-chat-v3.1-t1.0,coop_en,00015,response,en,5
en,dond,deepseek-chat-v3.1-t1.0,coop_en,00012,response,en,4
en,dond,deepseek-chat-v3.1-t1.0,semi_en,00005,response,en,4
en,dond,deepseek-chat-v3.1-t1.0,semi_en,00002,response,en,4
en,dond,deepseek-chat-v3.1-t1.0,semi_en,00003,response,en,6
en,dond,deepseek-chat-v3.1-t1.0,semi_en,00004,response,en,4
en,dond,deepseek-chat-v3.1-t1.0,semi_en,00017,response,en,5
en,dond,deepseek-chat-v3.1-t1.0,semi_en,00010,response,en,5
en,dond,deepseek-chat-v3.1-t1.0,semi_en,00019,response,en,6
en,dond,deepseek-chat-v3.1-t1.0,semi_en,00018,response,en,4
en,dond,deepseek-chat-v3.1-t1.0,semi_en,00011,response,en,4
en,dond,deepseek-chat-v3.1-t1.0,semi_en,00016,response,en,7
en,dond,deepseek-chat-v3.1-t1.0,semi_en,00008,response,en,5
en,dond,deepseek-chat-v3.1-t1.0,semi_en,00001,response,en,5
en,dond,deepseek-chat-v3.1-t1.0,semi_en,00006,response,en,4
en,dond,deepseek-chat-v3.1-t1.0,semi_en,00007,response,en,4
en,dond,deepseek-chat-v3.1-t1.0,semi_en,00000,response,en,6
en,dond,deepseek-chat-v3.1-t1.0,semi_en,00009,response,en,4
en,dond,deepseek-chat-v3.1-t1.0,semi_en,00013,response,en,5
en,dond,deepseek-chat-v3.1-t1.0,semi_en,00014,response,en,3
en,dond,deepseek-chat-v3.1-t1.0,semi_en,00015,response,en,5
en,dond,deepseek-chat-v3.1-t1.0,semi_en,00012,response,en,6
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_negotiation_hard,00005,thinking,en,3
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_negotiation_hard,00005,response,en,3
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_negotiation_hard,00002,thinking,en,3
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_negotiation_hard,00002,response,en,3
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_negotiation_hard,00003,thinking,en,3
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_negotiation_hard,00003,response,en,3
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_negotiation_hard,00004,thinking,en,3
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_negotiation_hard,00004,response,en,3
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_negotiation_hard,00001,thinking,en,3
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_negotiation_hard,00001,response,en,3
