model_pretty,acronym,x,y
GPT-5 (reasoning),G5R,88.26846936686488,1.0
GPT-5 Mini (reasoning),G5mR,85.50182566877103,1.0
Claude Sonnet 4 (reasoning),C4R,82.72262035231986,1.0
Qwen3-Next-80B (reasoning),Q3R,72.04717357683539,0.9191919191919192
Claude Sonnet 4,C4,71.17428852116757,0.7623762376237624
GPT-OSS 120B (reasoning),GOR,59.677910970870855,0.968421052631579
GPT-5 Mini,G5m,54.03898342607534,0.9320388349514563
DeepSeek Chat v3.1 (reasoning),DS3R,53.048211253486464,0.9603960396039604
GPT-5,G5,49.767030571891794,0.941747572815534
DeepSeek R1-Distill LLaMA-70B (reasoning),DSL3,49.68928233771114,0.5490196078431373
Nemotron-Nano 9B v2 (reasoning),NN9R,47.8698355290207,0.23469387755102042
LLaMA-3.3-70B Instruct,L3,42.08863592990978,0.9509803921568627
Qwen3-Next-80B,Q3,19.73355760030056,0.6019417475728155
Nemotron-Nano 9B v2,NN9,13.166038018141082,0.5306122448979592
