model_pretty,acronym,x,y
Claude Sonnet 4 (reasoning),C4R,82.74046526526564,1.0
GPT-5 (reasoning),G5R,78.70830482148725,1.0
GPT-5 Mini (reasoning),G5mR,76.83597570890716,1.0
Qwen3-Next-80B (reasoning),Q3R,60.83496914731251,0.9565217391304348
Claude Sonnet 4,C4,55.84201477713301,1.0
DeepSeek R1-Distill LLaMA-70B (reasoning),DSL3,53.12682461285988,0.07407407407407407
GPT-OSS 120B (reasoning),GOR,50.11373777369852,1.0
GPT-5 Mini,G5m,42.759771585923446,0.9629629629629629
GPT-5,G5,41.186071836289564,1.0
DeepSeek Chat v3.1 (reasoning),DS3R,35.03616971975222,0.84
Nemotron-Nano 9B v2 (reasoning),NN9R,33.849081215694504,0.6363636363636364
Qwen3-Next-80B,Q3,20.592425875418982,0.7037037037037037
LLaMA-3.3-70B Instruct,L3,18.087218190690898,0.8518518518518519
Nemotron-Nano 9B v2,NN9,0.0,0.0
