model_pretty,acronym,x,y
GPT-5 (reasoning),G5R,85.9859068627451,1.0
GPT-5 Mini (reasoning),G5mR,82.91124622926094,1.0
Claude Sonnet 4 (reasoning),C4R,80.30753968253968,1.0
Claude Sonnet 4,C4,77.06269680611786,1.0
Qwen3-Next-80B (reasoning),Q3R,63.66649246293209,0.975
LLaMA-3.3-70B Instruct,L3,54.75995481413438,0.975
DeepSeek Chat v3.1 (reasoning),DS3R,42.4375,1.0
GPT-OSS 120B (reasoning),GOR,36.72348888415371,0.95
DeepSeek R1-Distill LLaMA-70B (reasoning),DSL3,30.11645493042952,0.725
GPT-5 Mini,G5m,28.653250773993808,0.85
GPT-5,G5,23.03921568627451,0.85
Qwen3-Next-80B,Q3,14.68233082706767,0.875
Nemotron-Nano 9B v2,NN9,4.5,1.0
Nemotron-Nano 9B v2 (reasoning),NN9R,0.0,0.0
