model_pretty,acronym,x,y
GPT-5 (reasoning),G5R,97.9747733360312,1.0
GPT-5 Mini (reasoning),G5mR,94.87963473812461,1.0
GPT-OSS 120B (reasoning),GOR,93.51165627190346,0.9696969696969697
Qwen3-Next-80B (reasoning),Q3R,91.16434227322647,0.8333333333333334
GPT-5 Mini,G5m,86.16049503759537,1.0
Claude Sonnet 4 (reasoning),C4R,85.39265963403295,1.0
Claude Sonnet 4,C4,83.48849787140524,0.3333333333333333
GPT-5,G5,81.44568590445422,1.0
DeepSeek Chat v3.1 (reasoning),DS3R,75.34491465203863,1.0
DeepSeek R1-Distill LLaMA-70B (reasoning),DSL3,72.11875874814592,0.7142857142857143
Nemotron-Nano 9B v2 (reasoning),NN9R,69.67989779419479,0.25
LLaMA-3.3-70B Instruct,L3,43.741526544689044,1.0
Nemotron-Nano 9B v2,NN9,42.05283141194469,0.3870967741935484
Qwen3-Next-80B,Q3,39.792862579788235,0.2222222222222222
