model_pretty,acronym,x,y
Claude Sonnet 4 (reasoning),C4R,86.01174122942928,0.9795918367346939
GPT-5 (reasoning),G5R,84.28510160463044,1.0
GPT-5 Mini (reasoning),G5mR,80.47639634713022,1.0
Claude Sonnet 4,C4,79.55375597273428,0.7524752475247525
Qwen3-Next-80B (reasoning),Q3R,71.76615086546273,0.9504950495049505
GPT-OSS 120B (reasoning),GOR,70.54902643025976,0.9108910891089109
DeepSeek Chat v3.1 (reasoning),DS3R,69.22525355444296,0.9603960396039604
GPT-5,G5,51.805441216593344,0.9897959183673469
GPT-5 Mini,G5m,48.5994656053149,0.9696969696969697
LLaMA-3.3-70B Instruct,L3,47.45458991565564,0.7669902912621359
Nemotron-Nano 9B v2 (reasoning),NN9R,31.196890014973985,0.57
DeepSeek R1-Distill LLaMA-70B (reasoning),DSL3,27.404612821548078,0.3883495145631068
Qwen3-Next-80B,Q3,23.790520726022518,0.5728155339805825
Nemotron-Nano 9B v2,NN9,19.203940307885137,0.7029702970297029
