model_pretty,acronym,x,y
GPT-5 (reasoning),G5R,99.82517482517483,1.0
GPT-5 Mini (reasoning),G5mR,96.65356881842835,1.0
Claude Sonnet 4 (reasoning),C4R,92.35424704260953,0.9259259259259259
Qwen3-Next-80B (reasoning),Q3R,91.51548275837068,0.96
DeepSeek Chat v3.1 (reasoning),DS3R,86.38938243181853,0.8846153846153846
Claude Sonnet 4,C4,85.29971670197004,0.96
GPT-OSS 120B (reasoning),GOR,81.37849396201118,1.0
GPT-5 Mini,G5m,77.33340751121175,1.0
GPT-5,G5,75.24304829912249,1.0
DeepSeek R1-Distill LLaMA-70B (reasoning),DSL3,55.55555555555556,0.07407407407407407
Nemotron-Nano 9B v2 (reasoning),NN9R,52.57111258068968,0.5416666666666666
Qwen3-Next-80B,Q3,50.89794200344432,0.7037037037037037
Nemotron-Nano 9B v2,NN9,47.403489188988125,0.7407407407407407
LLaMA-3.3-70B Instruct,L3,34.44914097293427,0.8148148148148148
