model_pretty,acronym,x,y
Claude Sonnet 4 (reasoning),C4R,94.39460784313727,1.0
Claude Sonnet 4,C4,90.12152777777779,1.0
GPT-5 (reasoning),G5R,87.89473684210527,1.0
GPT-5 Mini (reasoning),G5mR,75.72649572649573,1.0
LLaMA-3.3-70B Instruct,L3,64.51009058594198,0.675
Qwen3-Next-80B (reasoning),Q3R,60.91412742382272,0.95
DeepSeek Chat v3.1 (reasoning),DS3R,60.56435394670689,0.975
GPT-OSS 120B (reasoning),GOR,52.675850811238625,0.95
GPT-5,G5,33.153153153153156,0.9736842105263158
DeepSeek R1-Distill LLaMA-70B (reasoning),DSL3,26.993679050567593,0.9
GPT-5 Mini,G5m,25.65972222222222,0.9230769230769231
Qwen3-Next-80B,Q3,22.542763157894736,1.0
Nemotron-Nano 9B v2 (reasoning),NN9R,21.11764705882353,0.875
Nemotron-Nano 9B v2,NN9,4.089068825910931,0.975
