model_pretty,acronym,x,y
GPT-OSS 120B (reasoning),GOR,98.52077038163232,0.7941176470588235
GPT-5 (reasoning),G5R,98.00452873264003,1.0
GPT-5 Mini (reasoning),G5mR,97.50709862988393,1.0
Qwen3-Next-80B (reasoning),Q3R,93.89238334036077,0.9444444444444444
Claude Sonnet 4 (reasoning),C4R,83.83626829526729,1.0
GPT-5 Mini,G5m,82.23326798125287,1.0
DeepSeek Chat v3.1 (reasoning),DS3R,81.68324760757143,1.0
GPT-5,G5,80.10920232475173,1.0
Claude Sonnet 4,C4,78.50458725309122,0.3333333333333333
Nemotron-Nano 9B v2 (reasoning),NN9R,57.35837930667495,0.25
LLaMA-3.3-70B Instruct,L3,49.04382128086813,0.8333333333333334
DeepSeek R1-Distill LLaMA-70B (reasoning),DSL3,41.79787025543869,0.05555555555555555
Nemotron-Nano 9B v2,NN9,37.49650753754458,0.35294117647058826
Qwen3-Next-80B,Q3,0.0,0.0
