model_pretty,acronym,x,y
GPT-5 Mini (reasoning),G5mR,88.49400905880348,1.0
GPT-5 (reasoning),G5R,87.55650959551416,1.0
Claude Sonnet 4 (reasoning),C4R,84.49272956573611,1.0
Claude Sonnet 4,C4,75.57602294882197,0.75
Qwen3-Next-80B (reasoning),Q3R,72.47092675391927,0.9578947368421052
GPT-5,G5,63.14455534186471,0.9696969696969697
GPT-5 Mini,G5m,62.9373454669553,0.9705882352941176
GPT-OSS 120B (reasoning),GOR,61.376239332010236,0.9320388349514563
DeepSeek Chat v3.1 (reasoning),DS3R,57.32904584628882,0.970873786407767
LLaMA-3.3-70B Instruct,L3,32.737958285819104,0.8543689320388349
Qwen3-Next-80B,Q3,31.733900447519694,0.6372549019607843
DeepSeek R1-Distill LLaMA-70B (reasoning),DSL3,28.394278621892973,0.3300970873786408
Nemotron-Nano 9B v2 (reasoning),NN9R,25.327252752530057,0.43137254901960786
Nemotron-Nano 9B v2,NN9,17.588991872053164,0.4368932038834951
