model_pretty,acronym,x,y
GPT-5 Mini (reasoning),G5mR,93.58127582763173,1.0
Claude Sonnet 4 (reasoning),C4R,91.63331047498777,1.0
GPT-5 (reasoning),G5R,88.95811533696282,1.0
Claude Sonnet 4,C4,86.22043842746149,0.9583333333333334
Qwen3-Next-80B (reasoning),Q3R,82.56340561547427,1.0
GPT-5 Mini,G5m,77.24267209944985,1.0
DeepSeek Chat v3.1 (reasoning),DS3R,76.01565353281735,0.8888888888888888
GPT-5,G5,71.62906959580194,0.96
GPT-OSS 120B (reasoning),GOR,66.07644722410069,0.9629629629629629
DeepSeek R1-Distill LLaMA-70B (reasoning),DSL3,58.10562627222243,0.1111111111111111
LLaMA-3.3-70B Instruct,L3,49.405559210124224,0.6296296296296297
Nemotron-Nano 9B v2,NN9,48.78637632034177,0.25925925925925924
Qwen3-Next-80B,Q3,45.558363468431594,0.6923076923076923
Nemotron-Nano 9B v2 (reasoning),NN9R,37.2241312939024,0.5769230769230769
