model_pretty,acronym,x,y
Claude Sonnet 4 (reasoning),C4R,84.39471073517126,1.0
GPT-5 (reasoning),G5R,77.97197497420021,1.0
GPT-5 Mini (reasoning),G5mR,77.11488433092535,1.0
Claude Sonnet 4,C4,67.78587553442429,1.0
Qwen3-Next-80B (reasoning),Q3R,55.615679824561404,1.0
GPT-5,G5,35.5276849890464,0.95
GPT-OSS 120B (reasoning),GOR,29.73131999953862,0.975
GPT-5 Mini,G5m,28.994784257942154,0.925
DeepSeek Chat v3.1 (reasoning),DS3R,28.927083333333332,1.0
DeepSeek R1-Distill LLaMA-70B (reasoning),DSL3,23.076023391812864,0.75
Qwen3-Next-80B,Q3,21.017069701280228,0.925
Nemotron-Nano 9B v2 (reasoning),NN9R,19.173694886302975,0.725
LLaMA-3.3-70B Instruct,L3,15.891812865497075,0.9
Nemotron-Nano 9B v2,NN9,11.842105263157896,0.95
