model_pretty,acronym,x,y
DeepSeek R1-Distill LLaMA-70B (reasoning),DSL3,98.80789257330775,0.027777777777777776
GPT-5 Mini (reasoning),G5mR,97.32203090204688,1.0
GPT-OSS 120B (reasoning),GOR,97.24547961497927,0.8611111111111112
GPT-5 (reasoning),G5R,97.15478820199873,1.0
GPT-5,G5,88.02140038047068,1.0
GPT-5 Mini,G5m,87.7839439142734,1.0
Qwen3-Next-80B (reasoning),Q3R,87.54757609156833,0.8888888888888888
Claude Sonnet 4,C4,81.14138466275513,0.3333333333333333
Claude Sonnet 4 (reasoning),C4R,79.44455316523755,1.0
DeepSeek Chat v3.1 (reasoning),DS3R,76.4290435141092,1.0
Qwen3-Next-80B,Q3,46.50214077096429,0.2777777777777778
LLaMA-3.3-70B Instruct,L3,41.96973026920213,0.9722222222222222
Nemotron-Nano 9B v2,NN9,0.0,0.0
Nemotron-Nano 9B v2 (reasoning),NN9R,0.0,0.0
