experiment_base,model_pretty,acronym,delta_main_score,delta_played_rate
,,,,
air_balloon_survival_de_complexity_,Claude Sonnet 4,CS4,0.0,0.0
air_balloon_survival_de_complexity_,Claude Sonnet 4 (reasoning),CS4R,6.724979932726939,0.0
air_balloon_survival_de_complexity_,DeepSeek Chat v3.1 (reasoning),DS3R,0.7331513529510545,0.0
air_balloon_survival_de_complexity_,DeepSeek R1-Distill LLaMA-70B (reasoning),R1D70,-4.775262686135868,-0.33333333333333337
air_balloon_survival_de_complexity_,GPT-5,G5,-16.525407091880602,0.0
air_balloon_survival_de_complexity_,GPT-5 (reasoning),G5R,0.0651871652656979,0.0
air_balloon_survival_de_complexity_,GPT-5 Mini,G5m,21.44532534785597,0.0
air_balloon_survival_de_complexity_,GPT-5 Mini (reasoning),G5mR,0.6807536466359494,0.0
air_balloon_survival_de_complexity_,GPT-OSS 120B (reasoning),O120R,1.0438883189233508,0.0
air_balloon_survival_de_complexity_,LLaMA-3.3-70B Instruct,L70,-8.971112190439161,0.0
air_balloon_survival_de_complexity_,Nemotron-Nano 9B v2,NN9,-20.044402287416315,0.3333333333333333
air_balloon_survival_de_complexity_,Nemotron-Nano 9B v2 (reasoning),NN9R,-96.66852000506762,-0.3333333333333333
air_balloon_survival_de_complexity_,Qwen3-Next-80B,Q80,0.0,0.0
air_balloon_survival_de_complexity_,Qwen3-Next-80B (reasoning),Q80R,4.673621022635885,-0.16666666666666663
air_balloon_survival_de_negotiation_,Claude Sonnet 4,CS4,0.0,0.0
air_balloon_survival_de_negotiation_,Claude Sonnet 4 (reasoning),CS4R,7.4781321360285915,0.0
air_balloon_survival_de_negotiation_,DeepSeek Chat v3.1 (reasoning),DS3R,13.13710972737384,0.0
air_balloon_survival_de_negotiation_,DeepSeek R1-Distill LLaMA-70B (reasoning),R1D70,21.861155175945385,-0.06666666666666671
air_balloon_survival_de_negotiation_,GPT-5,G5,11.327112012113687,0.0
air_balloon_survival_de_negotiation_,GPT-5 (reasoning),G5R,6.580342381044261,0.0
air_balloon_survival_de_negotiation_,GPT-5 Mini,G5m,8.394557711252673,0.0
air_balloon_survival_de_negotiation_,GPT-5 Mini (reasoning),G5mR,8.571060589361522,0.0
air_balloon_survival_de_negotiation_,GPT-OSS 120B (reasoning),O120R,17.67590369997366,0.16666666666666663
air_balloon_survival_de_negotiation_,LLaMA-3.3-70B Instruct,L70,13.454934343825293,0.0
air_balloon_survival_de_negotiation_,Nemotron-Nano 9B v2,NN9,20.33148026365894,0.3333333333333333
air_balloon_survival_de_negotiation_,Nemotron-Nano 9B v2 (reasoning),NN9R,97.13949183913849,0.16666666666666666
air_balloon_survival_de_negotiation_,Qwen3-Next-80B,Q80,0.0,0.0
air_balloon_survival_de_negotiation_,Qwen3-Next-80B (reasoning),Q80R,15.956484769372182,0.33333333333333337
air_balloon_survival_de_reasoning off_,Claude Sonnet 4,CS4,10.125345429622612,0.0
air_balloon_survival_de_reasoning off_,Claude Sonnet 4 (reasoning),CS4R,18.803782119493903,0.0
air_balloon_survival_de_reasoning off_,DeepSeek Chat v3.1 (reasoning),DS3R,-16.16327471324191,0.0
air_balloon_survival_de_reasoning off_,DeepSeek R1-Distill LLaMA-70B (reasoning),R1D70,30.953899850792837,0.16666666666666663
air_balloon_survival_de_reasoning off_,GPT-5,G5,2.0884018941542593,0.0
air_balloon_survival_de_reasoning off_,GPT-5 (reasoning),G5R,5.5058304375028655,0.0
air_balloon_survival_de_reasoning off_,GPT-5 Mini,G5m,15.80927122674305,0.0
air_balloon_survival_de_reasoning off_,GPT-5 Mini (reasoning),G5mR,21.23496376189007,0.0
air_balloon_survival_de_reasoning off_,GPT-OSS 120B (reasoning),O120R,16.289996291866345,0.0
air_balloon_survival_de_reasoning off_,LLaMA-3.3-70B Instruct,L70,5.99215137036839,0.0
air_balloon_survival_de_reasoning off_,Nemotron-Nano 9B v2,NN9,0.0,0.0
air_balloon_survival_de_reasoning off_,Nemotron-Nano 9B v2 (reasoning),NN9R,48.249094876094354,-0.6666666666666667
air_balloon_survival_de_reasoning off_,Qwen3-Next-80B,Q80,-2.1211370414356523,0.33333333333333337
air_balloon_survival_de_reasoning off_,Qwen3-Next-80B (reasoning),Q80R,48.264389293619196,0.5
