experiment_base,model_pretty,acronym,delta_main_score,delta_played_rate
,,,,
air_balloon_survival_en_complexity_,Claude Sonnet 4,CS4,0.0,0.0
air_balloon_survival_en_complexity_,Claude Sonnet 4 (reasoning),CS4R,-25.233311675862133,0.0
air_balloon_survival_en_complexity_,DeepSeek Chat v3.1 (reasoning),DS3R,-0.14836880435211697,0.0
air_balloon_survival_en_complexity_,DeepSeek R1-Distill LLaMA-70B (reasoning),R1D70,83.59574051087738,0.16666666666666666
air_balloon_survival_en_complexity_,GPT-5,G5,18.22765418430599,0.0
air_balloon_survival_en_complexity_,GPT-5 (reasoning),G5R,-0.08215037955243076,0.0
air_balloon_survival_en_complexity_,GPT-5 Mini,G5m,2.5007543526301816,0.0
air_balloon_survival_en_complexity_,GPT-5 Mini (reasoning),G5mR,0.05319049248612373,0.0
air_balloon_survival_en_complexity_,GPT-OSS 120B (reasoning),O120R,0.22072205808218825,0.0
air_balloon_survival_en_complexity_,LLaMA-3.3-70B Instruct,L70,-4.092845103074502,-0.16666666666666674
air_balloon_survival_en_complexity_,Nemotron-Nano 9B v2,NN9,42.55849425444529,0.3333333333333333
air_balloon_survival_en_complexity_,Nemotron-Nano 9B v2 (reasoning),NN9R,0.0,-0.3333333333333333
air_balloon_survival_en_complexity_,Qwen3-Next-80B,Q80,0.0,0.0
air_balloon_survival_en_complexity_,Qwen3-Next-80B (reasoning),Q80R,4.630537745127114,0.0
air_balloon_survival_en_negotiation_,Claude Sonnet 4,CS4,0.0,0.0
air_balloon_survival_en_negotiation_,Claude Sonnet 4 (reasoning),CS4R,15.864312760549183,0.0
air_balloon_survival_en_negotiation_,DeepSeek Chat v3.1 (reasoning),DS3R,13.919086169289216,0.0
air_balloon_survival_en_negotiation_,DeepSeek R1-Distill LLaMA-70B (reasoning),R1D70,0.0,0.0
air_balloon_survival_en_negotiation_,GPT-5,G5,12.64076120415207,0.0
air_balloon_survival_en_negotiation_,GPT-5 (reasoning),G5R,7.482115084244114,0.0
air_balloon_survival_en_negotiation_,GPT-5 Mini,G5m,10.223722599630818,0.0
air_balloon_survival_en_negotiation_,GPT-5 Mini (reasoning),G5mR,8.213549627734395,0.0
air_balloon_survival_en_negotiation_,GPT-OSS 120B (reasoning),O120R,16.599121677917978,0.8333333333333334
air_balloon_survival_en_negotiation_,LLaMA-3.3-70B Instruct,L70,16.041128620392918,-0.16666666666666674
air_balloon_survival_en_negotiation_,Nemotron-Nano 9B v2,NN9,1.9621172242630962,0.0
air_balloon_survival_en_negotiation_,Nemotron-Nano 9B v2 (reasoning),NN9R,0.0,0.0
air_balloon_survival_en_negotiation_,Qwen3-Next-80B,Q80,0.0,0.0
air_balloon_survival_en_negotiation_,Qwen3-Next-80B (reasoning),Q80R,11.125557303785413,0.16666666666666663
air_balloon_survival_en_reasoning off_,Claude Sonnet 4,CS4,1.0547690868653774,0.0
air_balloon_survival_en_reasoning off_,Claude Sonnet 4 (reasoning),CS4R,21.737886424899457,0.0
air_balloon_survival_en_reasoning off_,DeepSeek Chat v3.1 (reasoning),DS3R,12.87887467451177,0.0
air_balloon_survival_en_reasoning off_,DeepSeek R1-Distill LLaMA-70B (reasoning),R1D70,0.0,0.16666666666666666
air_balloon_survival_en_reasoning off_,GPT-5,G5,-32.177854120387984,0.0
air_balloon_survival_en_reasoning off_,GPT-5 (reasoning),G5R,4.383340445849186,0.0
air_balloon_survival_en_reasoning off_,GPT-5 Mini,G5m,-27.240443635503013,0.0
air_balloon_survival_en_reasoning off_,GPT-5 Mini (reasoning),G5mR,6.2148141618611135,0.0
air_balloon_survival_en_reasoning off_,GPT-OSS 120B (reasoning),O120R,3.8691028815352553,0.5
air_balloon_survival_en_reasoning off_,LLaMA-3.3-70B Instruct,L70,-0.1204039143737532,0.0
air_balloon_survival_en_reasoning off_,Nemotron-Nano 9B v2,NN9,0.0,0.0
air_balloon_survival_en_reasoning off_,Nemotron-Nano 9B v2 (reasoning),NN9R,29.696235896066675,0.16666666666666663
air_balloon_survival_en_reasoning off_,Qwen3-Next-80B,Q80,0.0,0.0
air_balloon_survival_en_reasoning off_,Qwen3-Next-80B (reasoning),Q80R,12.802827099045402,0.16666666666666663
air_balloon_survival_en_slu_,GPT-5 Mini (reasoning),G5mR,6.69139971264066,0.0
