experiment_base,model_pretty,acronym,delta_main_score,delta_played_rate
,,,,
air_balloon_survival_en_complexity_,Claude Sonnet 4,CS4,0.0,0.0
air_balloon_survival_en_complexity_,Claude Sonnet 4 (reasoning),CS4R,28.232031356121873,0.0
air_balloon_survival_en_complexity_,DeepSeek Chat v3.1 (reasoning),DS3R,42.47628353956741,0.0
air_balloon_survival_en_complexity_,DeepSeek R1-Distill LLaMA-70B (reasoning),R1D70,98.80789257330775,0.16666666666666666
air_balloon_survival_en_complexity_,GPT-5,G5,-13.915312608970439,0.0
air_balloon_survival_en_complexity_,GPT-5 (reasoning),G5R,0.032211257840202734,0.0
air_balloon_survival_en_complexity_,GPT-5 Mini,G5m,-6.790907935971745,0.0
air_balloon_survival_en_complexity_,GPT-5 Mini (reasoning),G5mR,0.17081183009248946,0.0
air_balloon_survival_en_complexity_,GPT-OSS 120B (reasoning),O120R,1.8534473669010794,0.16666666666666663
air_balloon_survival_en_complexity_,LLaMA-3.3-70B Instruct,L70,4.6202481055970175,0.0
air_balloon_survival_en_complexity_,Nemotron-Nano 9B v2,NN9,0.0,0.0
air_balloon_survival_en_complexity_,Nemotron-Nano 9B v2 (reasoning),NN9R,0.0,0.0
air_balloon_survival_en_complexity_,Qwen3-Next-80B,Q80,0.0,0.0
air_balloon_survival_en_complexity_,Qwen3-Next-80B (reasoning),Q80R,4.6769865800570045,0.0
air_balloon_survival_en_negotiation_,Claude Sonnet 4,CS4,0.0,0.0
air_balloon_survival_en_negotiation_,Claude Sonnet 4 (reasoning),CS4R,10.841479498730664,0.0
air_balloon_survival_en_negotiation_,DeepSeek Chat v3.1 (reasoning),DS3R,9.296257201396173,0.0
air_balloon_survival_en_negotiation_,DeepSeek R1-Distill LLaMA-70B (reasoning),R1D70,0.0,0.0
air_balloon_survival_en_negotiation_,GPT-5,G5,3.156958786288115,0.0
air_balloon_survival_en_negotiation_,GPT-5 (reasoning),G5R,7.761941658196278,0.0
air_balloon_survival_en_negotiation_,GPT-5 Mini,G5m,10.271975585981082,0.0
air_balloon_survival_en_negotiation_,GPT-5 Mini (reasoning),G5mR,10.675866653088264,0.0
air_balloon_survival_en_negotiation_,GPT-OSS 120B (reasoning),O120R,9.595764090532072,0.5
air_balloon_survival_en_negotiation_,LLaMA-3.3-70B Instruct,L70,10.573638198741762,0.0
air_balloon_survival_en_negotiation_,Nemotron-Nano 9B v2,NN9,0.0,0.0
air_balloon_survival_en_negotiation_,Nemotron-Nano 9B v2 (reasoning),NN9R,0.0,0.0
air_balloon_survival_en_negotiation_,Qwen3-Next-80B,Q80,0.0,0.0
air_balloon_survival_en_negotiation_,Qwen3-Next-80B (reasoning),Q80R,28.760377719446964,0.33333333333333337
air_balloon_survival_en_reasoning off_,Claude Sonnet 4,CS4,8.412037048545983,0.0
air_balloon_survival_en_reasoning off_,Claude Sonnet 4 (reasoning),CS4R,9.93344749472,0.0
air_balloon_survival_en_reasoning off_,DeepSeek Chat v3.1 (reasoning),DS3R,-9.717420955314665,0.0
air_balloon_survival_en_reasoning off_,DeepSeek R1-Distill LLaMA-70B (reasoning),R1D70,0.0,0.0
air_balloon_survival_en_reasoning off_,GPT-5,G5,14.688559477334962,0.0
air_balloon_survival_en_reasoning off_,GPT-5 (reasoning),G5R,9.201754758789477,0.0
air_balloon_survival_en_reasoning off_,GPT-5 Mini,G5m,6.488853485003133,0.0
air_balloon_survival_en_reasoning off_,GPT-5 Mini (reasoning),G5mR,5.041653239542768,0.0
air_balloon_survival_en_reasoning off_,GPT-OSS 120B (reasoning),O120R,6.255487363760054,0.16666666666666663
air_balloon_survival_en_reasoning off_,LLaMA-3.3-70B Instruct,L70,6.158785748266013,-0.16666666666666663
air_balloon_survival_en_reasoning off_,Nemotron-Nano 9B v2,NN9,0.0,0.0
air_balloon_survival_en_reasoning off_,Nemotron-Nano 9B v2 (reasoning),NN9R,0.0,0.0
air_balloon_survival_en_reasoning off_,Qwen3-Next-80B,Q80,33.33977987165052,0.0
air_balloon_survival_en_reasoning off_,Qwen3-Next-80B (reasoning),Q80R,55.882316772498285,0.33333333333333337
