,"-, clemscore","all, Average % Played","all, Average Quality Score","clean_up, % Played","clean_up, Quality Score","clean_up, Quality Score (std)","dond, % Played","dond, Quality Score","dond, Quality Score (std)","hot_air_balloon, % Played","hot_air_balloon, Quality Score","hot_air_balloon, Quality Score (std)"
claude-sonnet-4-20250514-no-reasoning-t0.0,58.88,76.44,77.03,96.0,62.47,26.9,100.0,90.12,26.82,33.33,78.5,10.72
claude-sonnet-4-20250514-t0.0,82.42,97.53,84.51,92.59,75.3,23.71,100.0,94.39,22.04,100.0,83.84,25.08
deepseek-r1-distill-llama-70b-t1.0,10.2,34.32,29.73,7.41,20.41,11.54,90.0,26.99,41.62,5.56,41.8,59.11
gpt-5-2025-08-07-no-reasoning-t1.0,51.55,99.12,52.01,100.0,42.77,30.09,97.37,33.15,45.96,100.0,80.11,31.86
gpt-5-2025-08-07-t1.0,81.92,100.0,81.92,100.0,59.87,31.87,100.0,87.89,27.39,100.0,98.0,4.25
gpt-5-mini-2025-08-07-no-reasoning-t1.0,47.41,97.44,48.66,100.0,38.08,24.67,92.31,25.66,38.47,100.0,82.23,29.72
gpt-5-mini-2025-08-07-t1.0,78.87,100.0,78.87,100.0,63.37,38.51,100.0,75.73,40.8,100.0,97.51,4.72
llama-3.3-70b-instruct-t1.0,35.6,77.44,45.97,81.48,24.36,24.83,67.5,64.51,43.82,83.33,49.04,17.61
nemotron-nano-9b-v2-no-reasoning-t1.0,24.89,55.65,44.72,60.0,40.07,42.86,87.5,21.25,39.8,19.44,72.85,33.68
nemotron-nano-9b-v2-t1.0,21.99,55.56,39.57,54.17,40.22,36.99,87.5,21.12,39.53,25.0,57.36,44.41
