,"-, clemscore","all, Average % Played","all, Average Quality Score","clean_up, % Played","clean_up, Quality Score","clean_up, Quality Score (std)","dond, % Played","dond, Quality Score","dond, Quality Score (std)","hot_air_balloon, % Played","hot_air_balloon, Quality Score","hot_air_balloon, Quality Score (std)"
claude-sonnet-4-20250514-no-reasoning-t1.0,63.16,77.78,81.2,100.0,83.06,18.01,100.0,77.06,36.23,33.33,83.49,11.63
claude-sonnet-4-20250514-t1.0,86.67,100.0,86.67,100.0,94.3,10.29,100.0,80.31,38.14,100.0,85.39,23.31
deepseek-chat-v3.1-t1.0,57.33,94.67,60.56,84.0,63.91,23.32,100.0,42.44,47.96,100.0,75.34,28.73
deepseek-r1-distill-llama-70b-t1.0,29.29,50.45,58.06,7.41,71.95,29.56,72.5,30.12,42.92,71.43,72.12,38.03
gpt-5-2025-08-07-no-reasoning-t1.0,55.38,95.0,58.29,100.0,70.37,28.19,85.0,23.04,42.2,100.0,81.45,27.26
gpt-5-2025-08-07-t1.0,94.05,100.0,94.05,100.0,98.18,9.46,100.0,85.99,25.31,100.0,97.97,5.23
gpt-5-mini-2025-08-07-no-reasoning-t1.0,57.63,93.77,61.46,96.3,69.58,22.66,85.0,28.65,45.15,100.0,86.16,20.78
gpt-5-mini-2025-08-07-t1.0,92.21,100.0,92.21,100.0,98.83,5.77,100.0,82.91,33.06,100.0,94.88,16.72
gpt-oss-120b-t1.0,66.39,97.32,68.22,100.0,74.42,27.81,95.0,36.72,44.91,96.97,93.51,11.96
llama-3.3-70b-instruct-t1.0,40.27,94.23,42.74,85.19,29.73,27.51,97.5,54.76,43.78,100.0,43.74,16.93
nemotron-nano-9b-v2-no-reasoning-t1.0,10.76,46.24,23.28,0.0,,,100.0,4.5,19.99,38.71,42.05,35.42
nemotron-nano-9b-v2-t1.0,15.66,29.55,52.99,63.64,36.3,33.55,0.0,,,25.0,69.68,40.39
qwen3-next-80b-a3b-instruct-t1.0,18.71,60.03,31.17,70.37,39.05,26.44,87.5,14.68,33.46,22.22,39.79,29.04
qwen3-next-80b-a3b-thinking-t1.0,75.31,92.16,81.72,95.65,90.32,13.64,97.5,63.67,44.4,83.33,91.16,19.21
