,"-, clemscore","all, Average % Played","all, Average Quality Score","clean_up, % Played","clean_up, Quality Score","clean_up, Quality Score (std)","dond, % Played","dond, Quality Score","dond, Quality Score (std)","hot_air_balloon, % Played","hot_air_balloon, Quality Score","hot_air_balloon, Quality Score (std)"
claude-sonnet-4-20250514-no-reasoning-t1.0,53.48,76.39,70.01,95.83,61.09,33.23,100.0,67.79,42.48,33.33,81.14,9.21
claude-sonnet-4-20250514-t1.0,78.9,100.0,78.9,100.0,72.86,38.92,100.0,84.39,33.21,100.0,79.44,29.56
deepseek-chat-v3.1-t1.0,48.73,96.3,50.6,88.89,46.45,32.59,100.0,28.93,44.99,100.0,76.43,35.73
deepseek-r1-distill-llama-70b-t1.0,15.07,29.63,50.87,11.11,30.73,21.52,75.0,23.08,39.25,2.78,98.81,
gpt-5-2025-08-07-no-reasoning-t1.0,53.32,97.0,54.97,96.0,41.35,31.31,95.0,35.53,46.54,100.0,88.02,20.47
gpt-5-2025-08-07-t1.0,80.67,100.0,80.67,100.0,66.9,41.49,100.0,77.97,33.58,100.0,97.15,5.16
gpt-5-mini-2025-08-07-no-reasoning-t1.0,50.78,97.5,52.08,100.0,39.48,22.32,92.5,28.99,45.25,100.0,87.78,17.77
gpt-5-mini-2025-08-07-t1.0,80.64,100.0,80.64,100.0,67.48,37.92,100.0,77.11,35.59,100.0,97.32,5.46
gpt-oss-120b-t1.0,53.96,93.3,57.83,96.3,46.51,30.09,97.5,29.73,40.65,86.11,97.25,4.94
llama-3.3-70b-instruct-t1.0,23.98,83.39,28.76,62.96,28.41,21.23,90.0,15.89,31.09,97.22,41.97,18.15
nemotron-nano-9b-v2-no-reasoning-t1.0,10.02,40.31,24.85,25.93,37.87,41.99,95.0,11.84,28.38,0.0,,
nemotron-nano-9b-v2-t1.0,9.11,43.4,20.98,57.69,22.8,18.96,72.5,19.17,35.03,0.0,,
qwen3-next-80b-a3b-instruct-t1.0,18.18,63.17,28.78,69.23,18.81,20.75,92.5,21.02,39.07,27.78,46.5,35.73
qwen3-next-80b-a3b-thinking-t1.0,62.82,96.3,65.23,100.0,52.53,37.2,100.0,55.62,46.69,88.89,87.55,25.15
